 Run_No.   Original_ID Tr     Solution     Inbr_%                                                                        
     225        816140  3    3.3909165        0.000    
     226        816142  1   -1.3160329        0.000    
     226        816142  2    3.4215294        0.000    
     226        816142  3   -1.1345182        0.000    
     227        816143  1    21.621177        0.000    
     227        816143  2    3.8199979        0.000    
     227        816143  3   -2.2559658        0.000    
     228        816144  1   -10.395842        0.000    
     228        816144  2   -11.080716        0.000    
     228        816144  3    4.3019228        0.000    
     229        816148  1    23.582101        0.000    
     229        816148  2   0.79992084        0.000    
     229        816148  3   -1.2889790        0.000    
     230        816156  1    28.129849        0.000    
     230        816156  2   -11.815613        0.000    
     230        816156  3    2.9071117        0.000    
     231        816158  1    3.1104614        0.000    
     231        816158  2   -8.0018973        0.000    
     231        816158  3    2.6517891        0.000    
     232        816164  1   -17.645155        0.000    
     232        816164  2    7.6808868        0.000    
     232        816164  3   -1.9172322        0.000    
     233        816168  1    29.301998        0.000    
     233        816168  2    29.888173        0.000    
     233        816168  3   -11.657874        0.000    
     234        816174  1    30.438795        0.000    
     234        816174  2    7.5340163        0.000    
     234        816174  3   -3.9267081        0.000    
     235        816178  1    31.908318        0.000    
     235        816178  2    18.942062        0.000    
     235        816178  3   -7.9601899        0.000    
     236        816182  1    26.826600        0.000    
     236        816182  2    3.1428056        0.000    
     236        816182  3   -2.2436023        0.000    
     237        816183  1   -38.344492        0.000    
     237        816183  2    1.6341648        0.000    
     237        816183  3    1.0742608        0.000    
     238        816201  1    17.751320        0.000    
     238        816201  2   0.67533518        0.000    
     238        816201  3  -0.99582513        0.000    
     239        816202  1    79.159174        0.000    
     239        816202  2    15.310615        0.000    
     239        816202  3   -8.7212087        0.000    
     240        816207  1  -0.31102239        0.000    
     240        816207  2   -3.1180579        0.000    
     240        816207  3    1.0984365        0.000    
     241        816210  1    15.675842        0.000    
     241        816210  2    6.8358674        0.000    
